brand,certification,category,notes,detail_url
Opus Cactus International,B-Corp,Environmental Services,World's leading developer of cactus-based renewables and biogas production. Uses high-density cultivation techniques planting 20000-40000 cactus plants per hectare.,https://www.bcorporation.net/en-us/find-a-b-corp/company/opus-cactus-international/
CALAND SA,B-Corp,Agriculture & Farming,Production and transformation of plants and raw materials for the food and pharmaceutical industry.,https://www.bcorporation.net/en-us/find-a-b-corp/company/caland-sa/
Anna French Associates Ltd,B-Corp,Architecture & Design,Landscape architecture practice focused on high-quality results while enhancing the local environment.,https://www.bcorporation.net/en-us/find-a-b-corp/company/anna-french-associates-ltd/
Wine Service ApS,B-Corp,Food & Beverage,Danish wine wholesaler prioritising sustainable, organic and biodynamic producers with full transparency from vineyard to bottle.,https://www.bcorporation.net/en-us/find-a-b-corp/company/wine-service-ap-s/
The Brandscape Agency BV,B-Corp,Architecture & Design,Creative production agency designing sustainable and circular brand experiences including trade show stands and pop-up stores.,https://www.bcorporation.net/en-us/find-a-b-corp/company/the-brandscape-agency/
MyEasyFarm,B-Corp,Agriculture & Farming,Ag Data and AI SaaS platform helping the agrifood supply chain measure and verify shifts in farming practices for carbon credits and regenerative agriculture.,https://www.bcorporation.net/en-us/find-a-b-corp/company/my-easy-farm/
FLASKE,B-Corp,Environmental Services,Dutch sustainable drinkware brand making reusable stainless steel bottles from recycled materials certified under RCS 2.0. Prevented 57 million single-use plastic bottles since 2019.,https://www.bcorporation.net/en-us/find-a-b-corp/company/flaske/
Xenia Venues,B-Corp,Travel & Hospitality,UK wedding venue group prioritising local sourcing and fair pay as an accredited Real Living Wage employer.,https://www.bcorporation.net/en-us/find-a-b-corp/company/xenia-venues/
Sentaris,B-Corp,Technology & Software,Australian cybersecurity services provider specialising in security assurance and governance. CREST Certified Organisation.,https://www.bcorporation.net/en-us/find-a-b-corp/company/sentaris/
Pas Denom,B-Corp,Fashion & Apparel,Chilean clothing brand focused on timeless minimalist designs with sustainable materials and fair trade production since 2014.,https://www.bcorporation.net/en-us/find-a-b-corp/company/pas-denom/
Oakmere Wealth Management Ltd,B-Corp,Finance & Wealth,Holistic wealth management helping clients align financial decisions with personal values and aspirations.,https://www.bcorporation.net/en-us/find-a-b-corp/company/oakmere-wealth-management-ltd/
BARTOLOMEI DESIGN LTDA,B-Corp,Architecture & Design,Strategic partner provoking creative and transformative interactions between brands, people and businesses.,https://www.bcorporation.net/en-us/find-a-b-corp/company/cba-bg/
Serica 1870 S.r.l.,B-Corp,Fashion & Apparel,Italian silk and mixed-silk fabric manufacturer combining historic craftsmanship with modern innovation across weaving and finishing.,https://www.bcorporation.net/en-us/find-a-b-corp/company/serica-1870-srl/
Tallawah Consulting,B-Corp,Consulting & Services,Social impact consulting helping businesses leverage evidence-based practices and inclusion to build equitable and resilient communities.,https://www.bcorporation.net/en-us/find-a-b-corp/company/tallawah-consulting/
Progetti Del Cuore Srl,B-Corp,Consulting & Services,Italian social enterprise acting as an incubator of social innovation focused on equity and universal accessibility of services.,https://www.bcorporation.net/en-us/find-a-b-corp/company/progetti-del-cuore-srl-societ-benefit/
Nustream Ltd,B-Corp,Technology & Software,IT solutions provider with 30 years experience reducing document production costs while embedding sustainability and social responsibility.,https://www.bcorporation.net/en-us/find-a-b-corp/company/nustream-ltd/
DG Organic Basics ApS,B-Corp,Fashion & Apparel,Copenhagen-based everyday essentials brand committed to transparency and measuring environmental footprint of all products.,https://www.bcorporation.net/en-us/find-a-b-corp/company/dg-organic-basics-ap-s/
Cloud9 Insight,B-Corp,Technology & Software,Microsoft Dynamics 365 implementation specialist for SMBs driving business transformation.,https://www.bcorporation.net/en-us/find-a-b-corp/company/cloud9-insight/
OT Group Ltd,B-Corp,Consulting & Services,Global collective providing infrastructure for elite recruiters balancing high performance with human purpose.,https://www.bcorporation.net/en-us/find-a-b-corp/company/owen-thomas-recruitment-limited/
North Network Ltd,B-Corp,Education & Media,Network of specialists in business strategy and filmmaking helping ethical businesses communicate their purpose and impact.,https://www.bcorporation.net/en-us/find-a-b-corp/company/north-network-ltd/
Patagonia,B-Corp,Fashion & Apparel,Outdoor clothing brand and environmental activist company committed to using business to save the planet.,https://www.patagonia.com
Allbirds,B-Corp,Fashion & Apparel,Footwear brand making shoes from natural and recycled materials with full carbon footprint labelling on every product.,https://www.allbirds.com
The Body Shop,B-Corp,Beauty & Personal Care,Global beauty brand committed to cruelty-free ethical sourcing and Community Fair Trade ingredients.,https://www.thebodyshop.com
Wholsum Foods,B-Corp,Food & Beverage,Indian food company producing nutritious snacks from ancient grains using sustainable farming practices.,https://www.wholsumfoods.com
SOFT OPTIONS,GOTS,Fashion & Apparel,Indian textile brand producing GOTS certified organic cotton garments with fair labour practices.,https://www.softoptions.com
